"","Year","Var","Site","DOYemMean","MaxEmRate_obs","FirstEm_obs","code","Steepness","MaxEmRate","MedianEm","em90","em95","FirstEm","DOYem","Latency"
"43","2021","Florido","Roujol",15,1,10,"Roujol_2021_Florido",4.23694507311554,1,12.7046139520896,19.1140171298868,24.8125365387571,3.70806703270558,12.7046139520896,3.70806703270558
"44","2021","Goana","Godet",18.5,1,9,"Godet_2021_Goana",3.9710246690159,1,17.2425853472669,27.9784022354384,36.5243002404191,4.60103036605514,17.2425853472669,4.60103036605514
"45","2021","Goana","Roujol",22.5,1,11,"Roujol_2021_Goana",3.5180920088428,1,20.7276616678626,38.890516570702,51.4058043123672,8.2142404567719,20.7276616678626,8.2142404567719
"46","2021","Gordito","Godet",30,1,17,"Godet_2021_Gordito",7.87780818175134,1,29.7805355084382,22.7837263566488,28.7080316566581,1.85676891321081,29.7805355084382,1.85676891321081
"47","2021","Gordito","Roujol",23.5,1,14,"Roujol_2021_Gordito",4.88881477969371,1,19.7828286246516,25.2966581555501,32.5035562792078,3.98787109986228,19.7828286246516,3.98787109986228
"48","2021","GrandEtang","Godet",17,1,7,"Godet_2021_GrandEtang",5.54023155428593,1,15.796406937609,17.5921377046097,22.4473838308113,1.97840351305679,15.796406937609,1.97840351305679
"49","2021","GrandEtang","Roujol",22,1,10,"Roujol_2021_GrandEtang",3.27517986826989,1,20.2723808722333,41.5627195098466,55.4200891274926,9.00449107873181,20.2723808722333,9.00449107873181
"50","2021","GrosseCaille","Godet",34,0.5,24,"Godet_2021_GrosseCaille",6.45110781062261,1,39.1011438515317,36.9456462904598,46.836725425885,25.4442633012791,39.1011438515317,24
"51","2021","GrosseCaille","Roujol",16,0.625,16,NA,NA,NA,NA,NA,NA,NA,16,16
"52","2021","H2X74F","Godet",21,1,13,"Godet_2021_H2X74F",5.47627034405135,1,19.2995744467917,21.7682005388237,27.7920640292314,2.79005402525027,19.2995744467917,2.79005402525027
"53","2021","H2X74F","Roujol",27,0.75,16,"Roujol_2021_H2X74F",4.67781371705885,0.754990519252925,24.6661035542059,33.1435417760848,42.70849464804,7.40056727462712,24.6661035542059,7.40056727462712
"54","2021","H4X172","Godet",23,1,18,NA,NA,NA,NA,NA,NA,NA,23,18
